date,IVV,IXUS,SHY
2013-12-20,164.3833,49.0228,80.8487
2014-01-02,165.6785,49.5308,80.8781
2014-02-03,157.7192,46.9119,81.0246
2014-03-03,167.5513,49.4519,81.0806
2014-04-01,171.2726,50.9847,80.8996
2014-05-01,171.3088,51.4227,81.0146
2014-06-02,175.5504,52.3599,81.1034
2014-07-01,180.1761,53.501,81.0601
2014-08-01,176.0329,52.015,81.1339
2014-09-02,183.4289,52.7273,81.1128
2014-10-01,178.6103,49.4418,81.2091
2014-11-03,185.4111,49.4686,81.3229
2014-12-01,189.1264,49.4953,81.4181
2015-01-02,189.7107,47.7423,81.2674
2015-02-02,186.5722,48.58,81.6643
2015-03-02,195.9784,50.6699,81.3864
2015-04-01,191.0299,50.2195,81.6911
2015-05-01,195.5848,52.6336,81.6479
2015-06-01,196.3501,51.5346,81.6641
2015-07-01,193.6266,50.5769,81.6715
2015-08-03,195.6663,49.6906,81.8045
2015-09-01,178.6902,44.7654,81.7657
2015-10-01,180.162,44.7288,81.9778
2015-11-02,197.2795,47.8448,81.8148
2015-12-01,197.5871,47.2417,81.7001
2016-01-04,189.5828,44.8776,81.6355
2016-02-01,182.6377,43.084,82.0174
2016-03-01,186.9456,43.426,82.0433
2016-04-01,196.2473,45.3399,82.218
2016-05-02,197.2948,47.0133,82.2655
2016-06-01,199.4557,46.3291,82.1401
2016-07-01,200.1803,46.1031,82.7221
2016-08-01,206.8078,47.5955,82.6262
2016-09-01,207.3292,48.5247,82.5002
2016-10-03,206.6857,49.0409,82.5572
2016-11-01,202.245,47.877,82.5287
2016-12-01,210.3451,46.7977,82.1005
2017-01-03,217.1561,48.189,82.1302
2017-02-01,219.5234,50.0866,82.2576
2017-03-01,231.1872,51.0543,82.2513
2017-04-03,228.0132,52.098,82.4448
2017-05-01,231.2379,53.3978,82.466
2017-06-01,235.7333,55.1816,82.5671
2017-07-03,235.8223,55.1685,82.4566
2017-08-01,240.841,57.4075,82.7018
2017-09-01,241.3342,57.6958,82.8212
2017-10-02,246.8472,58.5991,82.7454
2017-11-01,251.9597,59.9156,82.5969
2017-12-01,258.7925,59.9541,82.4483
2018-01-02,265.7395,62.0658,82.3836
2018-02-01,278.4353,64.829,82.1439
2018-03-01,264.6112,60.869,82.2093
2018-04-02,255.4664,60.3728,82.322
2018-05-01,262.9764,61.482,82.0687
2018-06-01,271.5507,61.1512,82.3315
2018-07-02,271.1327,58.6667,82.4204
2018-08-01,280.1038,60.5324,82.3888
2018-09-04,289.0848,58.6469,82.6478
2018-10-01,292.2549,59.6736,82.5255
2018-11-01,273.9063,55.5078,82.7202
2018-12-03,279.8236,56.1099,82.9218
